Card_ID,Name_Key,Cost,Desc_Key
ExtraHit,WORD_NAME_EXTRAHIT,2,WORD_DESC_EXTRAHIT
Clone,WORD_NAME_CLONE,4,WORD_DESC_CLONE
Strong,WORD_NAME_STRONG,4,WORD_DESC_STRONG
Quick,WORD_NAME_QUICK,1,WORD_DESC_QUICK
Fast,WORD_NAME_FAST,1,WORD_DESC_FAST
Healthy,WORD_NAME_HEALTHY,1,WORD_DESC_HEALTHY
Ignite,WORD_NAME_IGNITE,2,WORD_DESC_IGNITE
Cold,WORD_NAME_COLD,1,WORD_DESC_COLD
Chill,WORD_NAME_CHILL,1,WORD_DESC_CHILL
Split,WORD_NAME_SPLIT,1,WORD_DESC_SPLIT
Weak,WORD_NAME_WEAK,1,WORD_DESC_WEAK
Ultimate,WORD_NAME_ULTIMATE,1,WORD_DESC_ULTIMATE
Copy,WORD_NAME_COPY,1,WORD_DESC_COPY
Explosion,WORD_NAME_EXPLOSION,1,WORD_DESC_EXPLOSION
Mark,WORD_NAME_MARK,1,WORD_DESC_MARK
Purity,WORD_NAME_PURITY,1,WORD_DESC_PURITY
Poison,WORD_NAME_POISON,1,WORD_DESC_POISON
